trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
29,False,"{'a': 0.5161080956193699, 'e': 0.512278317674164}",20,0,-76.63388928833949,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
30,False,"{'a': 0.5083664741850793, 'e': 0.5000327513206807}",20,16,4.875411113908634,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5007409770723031, 'e': 0.4880320962942671}",30,21,7.631219281434296,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.4932298624162186, 'e': 0.47627145436838175}",25,0,-9.745857516454485,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.4858314144799753, 'e': 0.4647460252810141}",30,8,-83.13046508605794,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 2}",1
34,False,"{'a': 0.47854394326277566, 'e': 0.4534511047753938}",30,6,27.37280218918097,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.471365784113834, 'e': 0.44238208267988594}",25,0,-72.08661036001398,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.4642952973521265, 'e': 0.4315344410262882}",20,0,-104.8914007875532,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
37,False,"{'a': 0.4573308678918446, 'e': 0.4209037522057624}",25,0,-71.87088585094227,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
38,False,"{'a': 0.4504709048734669, 'e': 0.4104856771616472}",20,0,-0.4294883846680786,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.4437138413003649, 'e': 0.4002759636184142}",30,1,-13.100302779364508,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 0}",1
40,False,"{'a': 0.43705813368085944, 'e': 0.3902704443460459}",25,0,3.513534634967682,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
41,False,"{'a': 0.43050226167564654, 'e': 0.38046503545912497}",20,2,9.583929794841259,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
42,False,"{'a': 0.42404472775051183, 'e': 0.37085573474994243}",25,15,-4.272632497096591,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.41768405683425414, 'e': 0.3614386200549436}",25,0,-50.44480996838418,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.4114187959817403, 'e': 0.3522098476538447}",20,11,14.984544917672412,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.4052475140420142, 'e': 0.3431656507007678}",30,12,8.006065864728193,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.399168801331384, 'e': 0.33430233768675244}",25,0,3.3463474869493375,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
47,False,"{'a': 0.39318126931141323, 'e': 0.32561629093301736}",20,0,-15.396065170750184,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
48,False,"{'a': 0.38728355027174205, 'e': 0.317103965114357}",30,7,-27.751850012309404,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.3814742970176659, 'e': 0.30876188581206987}",20,0,-16.474286077620576,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
50,False,"{'a': 0.3757521825624009, 'e': 0.30058664809582847}",25,0,-5.93967816831764,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
51,False,"{'a': 0.37011589982396487, 'e': 0.2925749151339119}",30,3,-42.066769048327615,"{0: 21, 1: 1, 2: 3, 3: 2, 4: 0}",1
52,False,"{'a': 0.3645641613266054, 'e': 0.28472341683123364}",30,0,12.918415973617062,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.35909569890670634, 'e': 0.27702894849460896}",20,12,-8.451851588925653,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
54,False,"{'a': 0.3537092634231057, 'e': 0.2694883695247168}",30,0,-11.630345686564118,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
55,False,"{'a': 0.3484036244717591, 'e': 0.2620986021342224}",20,0,-81.46284718664782,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.3431775701046827, 'e': 0.254856630091538}",20,0,-6.7017212212507555,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
